ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300458.SZ,20200408,28.89,29.46,28.65,29.19,28.88,0.3100000000000023,1.0734,59902.56,174131.15
300458.SZ,20200407,29.0,29.17,28.62,28.88,28.24,0.6400000000000006,2.2663,55266.16,159599.377
300458.SZ,20200403,28.58,28.77,28.18,28.24,28.66,-0.4200000000000017,-1.4655,52517.72,149391.118
300458.SZ,20200402,27.32,28.72,27.32,28.66,27.55,1.1099999999999994,4.029,69647.12,196032.009
300458.SZ,20200401,27.48,28.33,27.34,27.55,27.52,0.030000000000001137,0.109,50081.65,139668.427
300458.SZ,20200331,28.0,28.29,27.52,27.52,27.51,0.00999999999999801,0.0364,50572.09,141256.241
300458.SZ,20200330,28.5,28.5,27.03,27.51,29.0,-1.4899999999999984,-5.1379,69879.12,193280.121
300458.SZ,20200327,30.08,30.16,28.9,29.0,29.71,-0.7100000000000009,-2.3898,48772.69,144021.114
300458.SZ,20200326,29.97,30.55,29.6,29.71,30.31,-0.5999999999999979,-1.9795,46718.58,140510.504
300458.SZ,20200325,30.92,31.0,30.0,30.31,30.02,0.28999999999999915,0.966,62170.23,189133.077
300458.SZ,20200324,30.6,30.74,28.77,30.02,29.8,0.21999999999999886,0.7383,70408.25,209720.11
300458.SZ,20200323,30.8,31.59,29.62,29.8,31.68,-1.879999999999999,-5.9343,71476.62,218702.909
300458.SZ,20200320,32.09,32.35,31.34,31.68,31.61,0.07000000000000028,0.2214,66354.11,210787.483
300458.SZ,20200319,31.2,31.8,30.7,31.61,30.68,0.9299999999999997,3.0313,82220.12,257246.23
300458.SZ,20200318,31.28,32.09,30.65,30.68,30.96,-0.28000000000000114,-0.9044,84642.74,266442.658
300458.SZ,20200317,31.15,31.74,29.7,30.96,30.81,0.15000000000000213,0.4869,79996.97,246389.792
300458.SZ,20200316,32.58,32.93,30.51,30.81,32.08,-1.2699999999999996,-3.9589,91594.33,291522.17
300458.SZ,20200313,30.14,32.45,30.09,32.08,31.95,0.129999999999999,0.4069,84933.3,267990.553
300458.SZ,20200312,31.78,32.88,31.6,31.95,32.5,-0.5500000000000007,-1.6923,64366.82,207497.357
300458.SZ,20200311,33.46,33.95,32.3,32.5,33.22,-0.7199999999999989,-2.1674,108259.94,360311.735
300458.SZ,20200310,31.15,33.22,29.5,33.22,31.55,1.6699999999999982,5.2932,116874.34,377776.249
300458.SZ,20200309,32.8,33.27,31.55,31.55,33.63,-2.080000000000002,-6.185,103319.41,333467.026
300458.SZ,20200306,33.6,33.99,33.3,33.63,34.1,-0.46999999999999886,-1.3783,76832.78,258463.525
300458.SZ,20200305,35.31,35.48,33.6,34.1,34.63,-0.5300000000000011,-1.5305,124463.67,425756.87
300458.SZ,20200304,34.71,35.48,33.7,34.63,34.96,-0.3299999999999983,-0.9439,97496.98,338216.169
300458.SZ,20200303,35.4,36.13,34.5,34.96,34.54,0.4200000000000017,1.216,139996.69,495527.47
300458.SZ,20200302,34.29,34.97,33.53,34.54,33.41,1.1300000000000026,3.3822,107721.67,369947.179
300458.SZ,20200228,34.8,35.5,33.36,33.41,37.0,-3.5900000000000034,-9.7027,178059.75,612574.081
300458.SZ,20200227,37.46,38.15,36.0,37.0,37.0,0.0,0.0,144442.64,536371.509
300458.SZ,20200226,39.13,40.19,36.91,37.0,40.53,-3.530000000000001,-8.7096,205489.52,790178.367
300458.SZ,20200225,39.9,41.12,37.7,40.53,41.12,-0.5899999999999963,-1.4348,261199.19,1041218.06
300458.SZ,20200224,39.17,41.31,39.0,41.12,39.5,1.6199999999999974,4.1013,243270.46,984130.098
300458.SZ,20200221,37.98,39.88,37.94,39.5,38.15,1.3500000000000014,3.5387,237684.41,927458.351
300458.SZ,20200220,37.79,38.66,37.01,38.15,37.78,0.36999999999999744,0.9794,163018.57,619129.508
300458.SZ,20200219,39.43,39.44,37.71,37.78,39.49,-1.7100000000000009,-4.3302,244901.1,943894.749
300458.SZ,20200218,38.11,39.61,37.72,39.49,37.96,1.5300000000000011,4.0306,245388.34,949871.368
