ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601086.SH,20200408,5.0,5.06,4.96,5.03,5.05,-0.019999999999999574,-0.396,104234.0,52359.236
601086.SH,20200407,4.99,5.08,4.95,5.05,4.93,0.1200000000000001,2.4341,132329.0,66679.958
601086.SH,20200403,4.99,4.99,4.93,4.93,5.0,-0.07000000000000028,-1.4,52100.0,25794.826
601086.SH,20200402,4.97,5.08,4.88,5.0,4.96,0.040000000000000036,0.8065,93153.54,46233.792
601086.SH,20200401,4.92,5.12,4.86,4.96,4.93,0.03000000000000025,0.6085,138276.0,69295.022
601086.SH,20200331,4.96,4.97,4.86,4.93,4.97,-0.040000000000000036,-0.8048,72208.95,35426.18
601086.SH,20200330,4.85,5.07,4.72,4.97,4.98,-0.010000000000000675,-0.2008,157557.45,76901.261
601086.SH,20200327,5.07,5.14,4.97,4.98,5.04,-0.05999999999999961,-1.1905,99349.0,50220.297
601086.SH,20200326,5.09,5.13,5.0,5.04,5.16,-0.1200000000000001,-2.3256,162115.13,81949.124
601086.SH,20200325,5.23,5.32,5.14,5.16,5.17,-0.009999999999999787,-0.1934,197742.02,103055.431
601086.SH,20200324,5.39,5.5,5.03,5.17,5.35,-0.17999999999999972,-3.3645,249863.02,130223.919
601086.SH,20200323,5.6,5.74,5.35,5.35,5.94,-0.5900000000000007,-9.9327,342569.31,190335.575
601086.SH,20200320,5.8,6.11,5.52,5.94,5.89,0.05000000000000071,0.8489,680054.82,391151.541
601086.SH,20200319,5.3,5.89,5.28,5.89,5.35,0.54,10.0935,563269.06,330754.279
601086.SH,20200318,5.49,5.61,5.35,5.35,5.45,-0.10000000000000053,-1.8349,157636.77,85951.006
601086.SH,20200317,5.25,5.5,5.11,5.45,5.28,0.16999999999999993,3.2197,107532.77,57131.34
601086.SH,20200316,5.29,5.51,5.22,5.28,5.32,-0.040000000000000036,-0.7519,115705.77,61821.819
601086.SH,20200313,5.0,5.32,4.95,5.32,5.2,0.1200000000000001,2.3077,80221.0,41686.803
601086.SH,20200312,5.14,5.24,5.11,5.2,5.2,0.0,0.0,48620.75,25154.394
601086.SH,20200311,5.31,5.32,5.18,5.2,5.25,-0.04999999999999982,-0.9524,52054.0,27245.944
601086.SH,20200310,5.08,5.26,5.08,5.25,5.16,0.08999999999999986,1.7442,71716.3,37248.298
601086.SH,20200309,5.1,5.26,5.07,5.16,5.17,-0.009999999999999787,-0.1934,79244.0,40883.355
601086.SH,20200306,5.2,5.26,5.15,5.17,5.27,-0.09999999999999964,-1.8975,108575.0,56327.387
601086.SH,20200305,5.1,5.48,5.1,5.27,5.16,0.10999999999999943,2.1318,155172.3,81527.626
601086.SH,20200304,5.21,5.21,5.13,5.16,5.21,-0.04999999999999982,-0.9597,63542.0,32836.465
601086.SH,20200303,5.08,5.21,5.07,5.21,5.06,0.15000000000000036,2.9644,107565.69,55444.344
601086.SH,20200302,4.97,5.13,4.96,5.06,4.95,0.10999999999999943,2.2222,27817.0,14023.475
601086.SH,20200228,4.98,5.06,4.95,4.95,5.1,-0.14999999999999947,-2.9412,56137.0,28116.844
601086.SH,20200227,5.15,5.17,5.08,5.1,5.14,-0.040000000000000036,-0.7782,36134.76,18525.081
601086.SH,20200226,5.06,5.18,5.01,5.14,5.1,0.040000000000000036,0.7843,58868.26,30045.604
601086.SH,20200225,5.06,5.1,5.0,5.1,5.1,0.0,0.0,35454.76,17911.607
